state	root	nonSwedish
0	1956.0463192565237	2001.0741961438832
20000	1956.5014342717789	2004.5813602541953
40000	1950.4453408240124	1997.4105589943813
60000	None	2002.3987193338858
80000	1950.2123824185287	2003.4108735593538
100000	None	2000.0710572214828
120000	1940.2547859958474	2000.9159811405016
140000	1947.849810184919	2002.1516837118727
160000	1946.657523398497	2002.6021881757392
180000	None	2000.2959246614573
200000	1938.5406350802998	2000.9867207154316
220000	1936.01355886797	1997.8945684850503
240000	1954.2266676344298	1998.96567582971
260000	1945.1770447759468	2001.4300705556243
280000	1943.4773652437393	2002.5463125326621
300000	None	1997.7415161827669
320000	None	2000.2666818053299
340000	1934.8072363019223	1998.1760513534257
360000	None	1997.0640517175443
380000	1926.7171277494615	1997.3377555485572
400000	1932.9288533744882	1997.6693443478648
420000	None	2000.8608922596275
440000	1941.0447581854908	2002.5051695840305
460000	1954.0646308660896	2002.6363772338527
480000	1931.7308298205578	2000.5646124351852
500000	1918.7095171809647	1996.2524766880313
520000	1936.2297245509137	1997.9566717250186
540000	1941.965381752196	2003.0355551072917
560000	1931.7194102146707	1999.6330423919553
580000	None	1998.9637502252322
600000	None	1996.0182500059518
620000	None	1999.4933739802696
640000	None	2001.1634840860172
660000	1937.5954463721548	1995.4238434396511
680000	1931.723308448713	1999.2058498143788
700000	None	2000.1680597257168
720000	1945.8479316983587	2000.963183503061
740000	None	2002.3625966720617
760000	1942.8628748726983	2001.8339104291763
780000	1954.6913645783632	2002.374929823065
800000	1956.4422904682306	2001.4895461480392
820000	1951.2780601343322	1999.448349818946
840000	1953.356599412336	2003.3627560772493
860000	1961.5426837393425	2002.8618480167688
880000	None	2005.157307770728
900000	None	2000.3845773599528
920000	1932.737356000194	2001.5168246458095
940000	None	2002.2405521658393
960000	1936.2049464840056	1994.9990807367376
980000	1952.8355890008654	2002.8462725941054
1000000	1949.0648201320646	1998.817265909388
1020000	None	1989.9896474060597
1040000	1910.6005771433197	1996.7573155116168
1060000	None	1990.73127290065
1080000	None	1994.4558253025416
1100000	None	1996.847166241429
1120000	1941.8127231052606	1997.4104225538904
1140000	None	1997.0371335853804
1160000	None	1996.762936542119
1180000	1948.230106578424	2001.1653655373802
1200000	None	1998.5154860508235
1220000	1956.6472253762029	2003.9210281281662
1240000	1964.5197947637796	2006.0101132745588
1260000	None	2007.1358330296816
1280000	None	2006.2605470683422
1300000	None	2005.8134202261551
1320000	1965.3894075908763	2003.881759655239
1340000	1963.1477951533182	2002.094080140464
1360000	1948.5465898116822	2002.1368965246959
1380000	None	2005.2454281324794
1400000	1938.776240010862	2004.631459535264
1420000	1957.2338816860026	2001.9228441353534
1440000	1958.404415069226	2002.792206288217
1460000	None	2003.7123335072522
1480000	None	2003.9421284898876
1500000	1961.354951369248	2001.3228219467896
1520000	1963.5498855683045	2005.4063473849394
1540000	None	2006.0170205790216
1560000	1963.6834216614152	2005.0783728640238
1580000	None	2000.8398326878148
