state	SLE-tmrca	GIN-tmrca
10	2014.3812769041097	2014.0157219041096
20	2014.3589359041096	2014.1072939041096
30	2014.3807559041097	2013.9919169041098
40	2014.3706439041096	2013.9931879041096
50	2014.3666659041096	2014.0335659041095
60	2014.3928799041096	2013.9896109041097
70	2014.3832019041095	2014.0252879041095
80	2014.3628919041096	2014.0533379041096
90	2014.3724529041094	2014.0168709041095
100	2014.3945499041095	2014.1253759041097
110	2014.3856459041097	2014.1161339041096
120	2014.4001229041096	2013.9982199041096
130	2014.3728369041096	2014.0719859041096
140	2014.3738489041095	2013.5148079041096
150	2014.3815039041096	2014.0855139041096
160	2014.3720169041096	2014.1107909041098
170	2014.3826799041096	2013.8640909041096
180	2014.3783919041098	2014.0271479041098
190	2014.4011779041095	2014.0474819041096
200	2014.3741219041096	2013.9580929041097
210	2014.3696509041097	2014.0614789041097
220	2014.3884829041097	2013.9905959041096
230	2014.3872659041097	2014.0438689041096
240	2014.3738249041096	2013.9921369041097
250	2014.3860369041097	2013.8561139041096
260	2014.3737619041096	2014.0155009041096
270	2014.3682699041096	2013.9581649041097
280	2014.3606889041096	2013.8196369041095
290	2014.3682439041095	2014.0490109041095
300	2014.3888099041096	2014.0707909041096
310	2014.3728419041095	2014.0485279041095
320	2014.3715949041098	2014.0521539041097
330	2014.3846569041095	2013.9548179041096
340	2014.3813199041097	2014.0017339041096
350	2014.3923649041096	2014.0766049041097
360	2014.3594629041097	2014.0748239041097
370	2014.3770889041095	2014.0533449041097
380	2014.3910769041095	2014.0210759041095
390	2014.3692399041097	2014.1284849041097
400	2014.3787909041096	2014.0238319041096
410	2014.3901139041095	2013.9452389041096
420	2014.3838819041096	2013.9278819041097
430	2014.3826609041096	2014.0109569041097
440	2014.3912939041097	2013.9960829041097
450	2014.3843019041096	2013.9841029041095
460	2014.3800669041095	2013.9265409041095
470	2014.3789589041096	2013.9817659041096
480	2014.3926659041097	2013.9487179041096
490	2014.3786679041095	2014.0619039041096
500	2014.3974539041096	2013.9481379041097
510	2014.3802599041096	2013.8811109041096
520	2014.3716189041097	2014.0194329041096
530	2014.3772759041094	2013.9606339041095
540	2014.3824019041094	2014.0550789041095
550	2014.3798739041097	2014.0269379041097
560	2014.3767749041097	2013.9251199041096
570	2014.3724989041098	2013.8310109041097
580	2014.3736679041097	2014.0701589041096
590	2014.3291659041097	2013.7793859041096
600	2014.3430909041097	2013.9934779041098
610	2014.3648509041095	2013.9557829041096
620	2014.3966569041097	2013.7036069041096
630	2014.3808589041096	2013.9171569041096
640	2014.3844569041098	2013.7907449041097
650	2014.3713999041095	2014.0126249041095
660	2014.3817669041096	2013.9953279041094
670	2014.3736159041096	2014.0456489041096
680	2014.3775929041096	2013.9379069041097
690	2014.3695229041095	2013.7542059041095
700	2014.3550179041097	2013.9767609041096
710	2014.3900659041096	2013.9651819041096
720	2014.3925479041097	2014.0494319041097
730	2014.3828049041097	2013.9648019041097
740	2014.3356569041096	2013.8329749041095
750	2014.4010039041095	2014.0119829041096
760	2014.3880259041096	2013.9324389041096
770	2014.3808669041098	2013.9698339041097
780	2014.3964409041098	2014.0739319041097
790	2014.3872369041096	2014.0339979041096
800	2014.3777019041097	2014.0835939041096
810	2014.3729899041095	2014.0206919041095
820	2014.3900739041096	2013.8888429041097
830	2014.3733169041097	2013.8985949041098
840	2014.3778509041094	2013.9581179041095
850	2014.3675449041098	2014.0604379041097
860	2014.3899609041096	2014.1104049041096
870	2014.3892209041096	2013.9953869041096
880	2014.3679099041096	2014.0338579041095
890	2014.3787729041096	2013.9828979041097
900	2014.3256709041095	2013.9974109041095
910	2014.3859439041096	2013.9231589041096
920	2014.3776069041096	2013.9820649041096
930	2014.3816719041097	2013.9437889041096
940	2014.3823279041096	2014.0696559041096
950	2014.3707579041097	2013.9097559041097
960	2014.3793709041097	2014.0170109041096
970	2014.3829749041097	2013.9841429041096
980	2014.3809359041097	2014.0132949041097
990	2014.3298419041096	2014.0036809041096
1000	2014.3933669041098	2013.8951189041097
