state	treeLength
10	125.49149
20	124.509333
30	131.94588
40	132.080281
50	129.991513
60	130.774802
70	129.233588
80	125.552523
90	122.508495
100	129.626554
110	125.139117
120	128.551937
130	129.28594
140	136.134103
150	131.800864
160	133.655586
170	126.907101
180	130.422212
190	126.976857
200	132.235118
210	123.49271
220	128.35217
230	129.223208
240	126.482695
250	134.442808
260	130.929116
270	130.50942
280	130.502639
290	131.153704
300	127.586529
310	137.531696
320	130.111106
330	128.466744
340	130.659698
350	130.507694
360	127.851175
370	131.553794
380	132.649716
390	130.659128
400	134.116601
410	129.352143
420	128.669969
430	130.607506
440	127.446381
450	129.731922
460	130.927681
470	129.58269
480	134.422423
490	132.356314
500	132.047419
510	130.515148
520	132.73194
530	131.472743
540	132.626632
550	131.386564
560	136.949662
570	130.455063
580	126.948661
590	138.540717
600	130.031147
610	128.834561
620	128.272537
630	134.331866
640	131.572448
650	129.670866
660	131.202356
670	127.794875
680	135.430662
690	131.830296
700	136.531381
710	128.282245
720	129.817424
730	128.096943
740	130.27274
750	132.953366
760	129.278946
770	131.464116
780	137.614811
790	130.33121
800	132.175857
810	130.117405
820	131.386878
830	130.332843
840	126.407943
850	130.463896
860	133.995703
870	131.512971
880	130.624568
890	130.844666
900	128.934704
910	128.365988
920	128.650347
930	131.513029
940	129.355263
950	130.042085
960	131.394498
970	130.572019
980	134.349488
990	129.355526
1000	130.234239
